RTT,Throughput,TotalDataTransfered
2.0640625,97552.61081814823,2.0640625
2.0640625,64557.36187798901,2.0640625
2.0640625,94539.62117247899,2.0640625
2.0640625,72618.57684306033,2.0640625
2.0640625,72377.01778869775,2.0640625
2.0640625,58022.99662698074,2.0640625
2.0640625,98754.12151729637,2.0640625
2.0640625,83680.38437257166,2.0640625
2.0640625,72820.23747216442,2.0640625
2.0640625,102345.75665018847,2.0640625
2.0640625,107839.84604796326,2.0640625
2.0640625,91304.96345205094,2.0640625
2.0640625,54834.719348520426,2.0640625
2.0640625,85555.77849050301,2.0640625
2.0640625,102292.72056472201,2.0640625
2.0640625,106835.26632932668,2.0640625
2.0640625,110663.97059397139,2.0640625
2.0640625,107553.56330459578,2.0640625
2.0640625,109809.38856233585,2.0640625
2.0640625,98381.2488175123,2.0640625
2.0640625,90438.39248018271,2.0640625
2.0640625,111224.85793121214,2.0640625
2.0640625,100458.02060865583,2.0640625
2.0640625,156227.05522891527,2.0640625
2.0640625,51996.58770656772,2.0640625
2.0640625,94144.25501904136,2.0640625
2.0640625,92531.61843161154,2.0640625
2.0640625,116373.55445254094,2.0640625
2.0640625,98733.5305299618,2.0640625
2.0640625,65353.16811394134,2.0640625
2.0640625,159355.10908920685,2.0640625
2.0640625,136884.8988105899,2.0640625
2.0640625,156820.70526585405,2.0640625
2.0640625,103893.33709178506,2.0640625
2.0640625,99715.16892734297,2.0640625
2.0640625,107422.82240772176,2.0640625
2.0640625,169626.9947188771,2.0640625
2.0640625,103283.7214743941,2.0640625
2.0640625,117271.82678884381,2.0640625
2.0640625,100781.69795286021,2.0640625
2.0640625,80071.00033533416,2.0640625
2.0640625,90613.95570384208,2.0640625
2.0640625,97908.91760588007,2.0640625
2.0640625,79511.67095994584,2.0640625
2.0640625,62869.57554666153,2.0640625
2.0640625,105292.38205696312,2.0640625
2.0640625,105876.17989369933,2.0640625
2.0640625,105591.91155973986,2.0640625
2.0640625,109694.40395716569,2.0640625
2.0640625,112066.12302359262,2.0640625
2.0640625,90850.71619061197,2.0640625
2.0640625,62433.3140710522,2.0640625
2.0640625,99198.6129252688,2.0640625
2.0640625,59949.607813516144,2.0640625
2.0640625,70433.55493386555,2.0640625
2.0640625,96203.4177083082,2.0640625
2.0640625,81496.54411937088,2.0640625
2.0640625,96582.93070076991,2.0640625
2.0640625,98832.39785632644,2.0640625
2.0640625,105229.62461598277,2.0640625
2.0640625,142054.76485333988,2.0640625
2.0640625,106722.5295513324,2.0640625
2.0640625,151713.53701203552,2.0640625
2.0640625,138210.9837971483,2.0640625
2.0640625,162211.39822845717,2.0640625
2.0640625,167446.80343224542,2.0640625
2.0640625,177373.9908208557,2.0640625
2.0640625,74160.04141650762,2.0640625
2.0640625,114207.3239981838,2.0640625
2.0640625,80541.21489330185,2.0640625
2.0640625,77632.0703013184,2.0640625
2.0640625,74697.83949120942,2.0640625
2.0640625,70720.36894608005,2.0640625
2.0640625,88494.81042562361,2.0640625
2.0640625,43040.78531975767,2.0640625
2.0640625,89368.1174577214,2.0640625
2.0640625,95201.57085417441,2.0640625
2.0640625,96310.7526993145,2.0640625
2.0640625,100274.80114635367,2.0640625
2.0640625,93190.66550954492,2.0640625
2.0640625,50164.725432988766,2.0640625
2.0640625,53845.63803631623,2.0640625
2.0640625,60382.03132724645,2.0640625
2.0640625,87443.73299125949,2.0640625
2.0640625,64176.334559577415,2.0640625
2.0640625,75893.73401776675,2.0640625
2.0640625,83334.77437908262,2.0640625
2.0640625,87838.6564105183,2.0640625
2.0640625,89814.61475774171,2.0640625
2.0640625,100079.04208043395,2.0640625
2.0640625,115629.94471386958,2.0640625
2.0640625,140336.69115092256,2.0640625
2.0640625,163715.24892617372,2.0640625
2.0640625,174980.66949773426,2.0640625
2.0640625,172197.43047163007,2.0640625
2.0640625,78214.06132654143,2.0640625
2.0640625,126866.33053932995,2.0640625
2.0640625,52813.24654663593,2.0640625
2.0640625,52044.78443405241,2.0640625
2.0640625,48290.92454252791,2.0640625
2.0640625,43953.75625049623,2.0640625
2.0640625,44757.78786189897,2.0640625
2.0640625,70441.6704579171,2.0640625
2.0640625,69680.89855098866,2.0640625
2.0640625,59389.77577114399,2.0640625
2.0640625,55137.655673848836,2.0640625
2.0640625,53736.63793953162,2.0640625
2.0640625,51799.907739780036,2.0640625
2.0640625,55479.89239159903,2.0640625
2.0640625,28738.162427416377,2.0640625
2.0640625,42114.830752253605,2.0640625
2.0640625,43379.49114783979,2.0640625
2.0640625,48025.99225621329,2.0640625
2.0640625,51052.23565032069,2.0640625
2.0640625,49118.80551721997,2.0640625
2.0640625,68322.97620337813,2.0640625
2.0640625,49494.2427525244,2.0640625
2.0640625,64694.96538742206,2.0640625
2.0640625,60250.84419981126,2.0640625
2.0640625,61502.332655609,2.0640625
2.0640625,51302.99078588249,2.0640625
2.0640625,30611.127720675817,2.0640625
2.0640625,33764.05306337379,2.0640625
2.0640625,42686.27567605614,2.0640625
2.0640625,60207.09412418065,2.0640625
2.0640625,56896.63314272483,2.0640625
2.0640625,56873.485564572096,2.0640625
2.0640625,58979.29523485097,2.0640625
2.0640625,61386.24094835017,2.0640625
2.0640625,72809.94679034706,2.0640625
2.0640625,64984.92771718354,2.0640625
2.0640625,59863.21787098583,2.0640625
2.0640625,59954.25854684391,2.0640625
2.0640625,58730.87681127796,2.0640625
2.0640625,67084.41551009714,2.0640625
2.0640625,52202.35038668476,2.0640625
